2017-10-9,WSH,TBL,Away,0,0,1,1,3,4,26,40,2,4,50.0,1,80.0,32,32,50.0
2017-10-9,CHI,TOR,Away,0,0,1,1,3,4,21,43,1,6,16.7,1,83.3,25,39,39.1
2017-10-9,NYI,STL,Home,0,0,1,1,2,2,42,35,0,6,0.0,1,83.3,27,27,50.0
2017-10-9,BUF,NJD,Home,0,1,0,0,2,6,25,31,1,4,25.0,0,100.0,27,28,49.1
2017-10-9,EDM,WPG,Home,0,1,0,0,2,5,39,43,0,2,0.0,1,75.0,31,37,45.6
2017-10-9,BOS,COL,Home,0,1,0,0,0,4,29,23,0,4,0.0,0,100.0,37,15,71.2
2017-10-9,ANA,CGY,Home,0,1,0,0,0,2,43,29,0,5,0.0,1,75.0,29,22,56.9
2017-10-10,VGK,ARI,Home,1,0,0,2,5,2,28,33,1,3,33.3,0,100.0,47,22,68.1
2017-10-10,NSH,PHI,Home,1,0,0,2,6,5,31,30,3,4,75.0,2,60.0,44,28,61.1
2017-10-10,STL,NYR,Away,1,0,0,2,3,1,23,33,1,4,25.0,1,75.0,26,32,44.8
2017-10-10,DAL,DET,Home,1,0,0,2,4,2,33,25,1,3,33.3,1,80.0,47,34,58.0
2017-10-10,OTT,VAN,Away,1,0,0,2,2,2,42,28,0,4,0.0,0,100.0,27,35,43.5
2017-10-10,CHI,MTL,Away,1,0,0,2,3,1,25,42,1,2,50.0,0,100.0,33,34,49.3
2017-10-10,CBJ,CAR,Away,1,0,0,2,2,1,27,38,0,3,0.0,0,100.0,26,40,39.4
2017-10-10,CAR,CBJ,Home,0,0,1,1,1,2,38,27,0,3,0.0,0,100.0,40,26,60.6
2017-10-10,VAN,OTT,Home,0,0,1,1,2,2,28,42,0,4,0.0,0,100.0,35,27,56.5
2017-10-10,MTL,CHI,Home,0,1,0,0,1,3,42,25,0,5,0.0,1,50.0,34,33,50.7
2017-10-10,ARI,VGK,Away,0,1,0,0,2,5,33,28,0,3,0.0,1,66.7,22,47,31.9
2017-10-10,PHI,NSH,Away,0,1,0,0,5,6,30,31,2,5,40.0,3,25.0,28,44,38.9
2017-10-10,DET,DAL,Away,0,1,0,0,2,4,25,33,1,5,20.0,1,66.7,34,47,42.0
2017-10-10,NYR,STL,Home,0,1,0,0,1,3,33,23,1,4,25.0,1,75.0,32,26,55.2
2017-10-11,ANA,NYI,Home,1,0,0,2,3,2,30,41,0,4,0.0,0,100.0,34,29,54.0
2017-10-11,PIT,WSH,Away,1,0,0,2,3,2,36,22,3,6,50.0,0,100.0,29,38,43.3
2017-10-11,COL,BOS,Home,1,0,0,2,6,3,37,23,1,5,20.0,1,75.0,35,37,48.6
2017-10-11,CGY,LAK,Away,1,0,0,2,4,3,37,45,1,6,16.7,0,100.0,32,36,47.0
2017-10-11,NJD,TOR,Away,1,0,0,2,6,3,31,50,1,5,20.0,2,75.0,34,43,44.1
2017-10-11,LAK,CGY,Home,0,0,1,1,3,4,45,37,0,5,0.0,1,83.3,36,32,52.9
2017-10-11,BOS,COL,Away,0,1,0,0,3,6,23,37,1,4,25.0,1,80.0,37,35,51.4
2017-10-11,WSH,PIT,Home,0,1,0,0,2,3,22,36,0,4,0.0,3,50.0,38,29,56.7
